2023-11-06 01:24:44.366 INFO  [Thread-5] [o.apache.coyote.http11.Http11NioProtocol] - Stopping ProtocolHandler ["http-nio-8085"]
2023-11-06 01:24:44.368 INFO  [Thread-5] [o.apache.coyote.http11.Http11NioProtocol] - Destroying ProtocolHandler ["http-nio-8085"]
2023-11-06 01:24:44.445 INFO  [restartedMain] [c.chunjae.project05.Project05Application] - Starting Project05Application using Java 17.0.7 on Novah with PID 7728 (C:\Dev\IdeaProjects\project\personal\project5\project05\build\classes\java\main started by soumu in C:\Dev\IdeaProjects\project\personal\project5\project05)
2023-11-06 01:24:44.446 INFO  [restartedMain] [c.chunjae.project05.Project05Application] - No active profile set, falling back to 1 default profile: "default"
2023-11-06 01:24:44.696 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 8085 (http)
2023-11-06 01:24:44.696 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Initializing ProtocolHandler ["http-nio-8085"]
2023-11-06 01:24:44.697 INFO  [restartedMain] [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2023-11-06 01:24:44.697 INFO  [restartedMain] [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/9.0.82]
2023-11-06 01:24:44.753 INFO  [restartedMain] [org.apache.jasper.servlet.TldScanner] - At least one JAR was scanned for TLDs yet contained no TLDs. Enable debug logging for this logger for a complete list of JARs that were scanned but no TLDs were found in them. Skipping unneeded JARs during scanning can improve startup time and JSP compilation time.
2023-11-06 01:24:44.754 INFO  [restartedMain] [o.a.c.c.C.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2023-11-06 01:24:44.754 INFO  [restartedMain] [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 306 ms
2023-11-06 01:24:44.866 INFO  [restartedMain] [o.s.s.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@6b890c41, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4e2c1498, org.springframework.security.web.context.SecurityContextPersistenceFilter@127cd816, org.springframework.security.web.header.HeaderWriterFilter@1a0873a3, org.springframework.security.web.csrf.CsrfFilter@38028beb, org.springframework.security.web.authentication.logout.LogoutFilter@2b5b2848, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@96aee1c, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@52092973, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@b45ddfa, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5abb9e10, org.springframework.security.web.session.SessionManagementFilter@3e8d41ff, org.springframework.security.web.access.ExceptionTranslationFilter@5502a6ec, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@1b41f85d]
2023-11-06 01:24:44.916 INFO  [restartedMain] [o.s.b.d.a.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2023-11-06 01:24:44.922 INFO  [restartedMain] [o.apache.coyote.http11.Http11NioProtocol] - Starting ProtocolHandler ["http-nio-8085"]
2023-11-06 01:24:44.925 INFO  [restartedMain] [o.s.b.w.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 8085 (http) with context path ''
2023-11-06 01:24:44.930 INFO  [restartedMain] [c.chunjae.project05.Project05Application] - Started Project05Application in 0.519 seconds (JVM running for 71.267)
2023-11-06 01:24:44.932 INFO  [restartedMain] [o.s.b.d.a.ConditionEvaluationDeltaLoggingListener] - Condition evaluation unchanged
2023-11-06 01:24:47.569 INFO  [restartedMain] [c.chunjae.project05.Project05Application] - Starting Project05Application using Java 17.0.7 on Novah with PID 8264 (C:\Dev\IdeaProjects\project\personal\project5\project05\build\classes\java\main started by soumu in C:\Dev\IdeaProjects\project\personal\project5\project05)
2023-11-06 01:24:47.571 INFO  [restartedMain] [c.chunjae.project05.Project05Application] - No active profile set, falling back to 1 default profile: "default"
